id|name|asciiName|alternateNames|latitude|longitude|countryCode
669867|Comuna Popeşti|Comuna Popesti||44.44521|25.09114|RO
669653|Comuna Priboieni|Comuna Priboieni||44.87728|25.0868|RO
668925|Comuna Râca|Comuna Raca||44.44216|25.03671|RO
669113|Comuna Răteşti|Comuna Ratesti||44.7169|25.15858|RO
669041|Comuna Recea|Comuna Recea||44.54264|25.02738|RO
668780|Comuna Rociu|Comuna Rociu||44.66838|25.02014|RO
668540|Comuna Rucăr|Comuna Rucar||45.41607|25.17338|RO
668225|Comuna Sălătrucu|Comuna Salatrucu||45.29098|24.52523|RO
668079|Comuna Săpata|Comuna Sapata||44.72789|24.7528|RO
667645|Comuna Schitu-Goleşti|Comuna Schitu-Golesti||45.1863|25.00576|RO
666683|Comuna Slobozia|Comuna Slobozia||44.52197|25.24092|RO
666148|Comuna Stâlpeni|Comuna Stalpeni||45.05665|24.99307|RO
666245|Comuna Ştefan cel Mare|Comuna Stefan cel Mare||44.49197|25.2471|RO
666062|Comuna Stoeneşti|Comuna Stoenesti||45.26432|25.17674|RO
666034|Comuna Stolnici|Comuna Stolnici||44.58075|24.77335|RO
665798|Comuna Şuici|Comuna Suici||45.24454|24.53621|RO
665686|Comuna Suseni|Comuna Suseni||44.70861|24.96437|RO
665324|Comuna Teiu|Comuna Teiu||44.64225|25.1411|RO
665112|Comuna Tigveni|Comuna Tigveni||45.15588|24.55094|RO
664900|Comuna Țițești|Comuna Titesti||45.01146|24.97898|RO
664383|Comuna Uda|Comuna Uda||44.87591|24.58582|RO
664269|Comuna Ungheni|Comuna Ungheni||44.51166|24.95186|RO
663797|Comuna Valea Danului|Comuna Valea Danului||45.18962|24.61959|RO
663732|Comuna Valea Iaşului|Comuna Valea Iasului||45.19677|24.70094|RO
663595|Comuna Valea Mare-Pravăţ|Comuna Valea Mare-Pravat|Comuna Valea Mare-Pravat,Comuna Valea Mare-Pravăţ,Valea Mare Pravat|45.289|25.10567|RO
663082|Comuna Vedea|Comuna Vedea||44.77735|24.64677|RO
662615|Comuna Vlădeşti|Comuna Vladesti||45.14344|24.93634|RO
662392|Comuna Vultureşti|Comuna Vulturesti||45.05999|25.0737|RO
8299651|Municipiul Câmpulung|Municipiul Campulung||45.26691|25.04419|RO
8299652|Municipiul Curtea de Argeș|Municipiul Curtea de Arges||45.1384|24.67512|RO
8299650|Municipiul Piteşti|Municipiul Pitesti||44.85782|24.87133|RO
680567|Oraș Costeşti|Oras Costesti||44.66667|24.88333|RO
673161|Oraș Mioveni|Oras Mioveni||44.95897|24.94274|RO
666226|Oraș Ştefăneşti|Oras Stefanesti||44.86667|24.93333|RO
664728|Oraș Topoloveni|Oras Topoloveni||44.81667|25.08333|RO
685947|Bacău|Bacau|Bacau,Bacău,Judetul Bacau,Judeţul Bacău|46.41667|26.83333|RO
686635|Comuna Agăş|Comuna Agas||46.46458|26.22962|RO
686211|Comuna Ardeoani|Comuna Ardeoani||46.52183|26.60165|RO
686087|Comuna Asău|Comuna Asau||46.46495|26.37497|RO
685661|Comuna Balcani|Comuna Balcani||46.64108|26.54412|RO
684765|Comuna Bârsăneşti|Comuna Barsanesti||46.3329|26.68192|RO
685030|Comuna Bereşti-Bistriţa|Comuna Beresti-Bistrita||46.7087|26.85648|RO
685024|Comuna Bereşti-Tazlău|Comuna Beresti-Tazlau||46.48302|26.67877|RO
684969|Comuna Berzunţi|Comuna Berzunti||46.4136|26.62237|RO
684616|Comuna Blăgeşti|Comuna Blagesti||46.68668|26.64835|RO
684387|Comuna Bogdăneşti|Comuna Bogdanesti||46.2179|26.6995|RO
683606|Comuna Brusturoasa|Comuna Brusturoasa||46.51898|26.19352|RO
683557|Comuna Buciumi|Comuna Buciumi||46.21353|26.78584|RO
683366|Comuna Buhoci|Comuna Buhoci|Comuna Bohociu,Comuna Buhoci|46.56581|27.00824|RO
683043|Comuna Căiuţi|Comuna Caiuti||46.17987|26.91633|RO
673257|Comuna Caşin|Comuna Casin||46.19394|26.72923|RO
681339|Comuna Cleja|Comuna Cleja||46.40183|26.92104|RO
681094|Comuna Coloneşti|Comuna Colonesti||46.60471|27.26584|RO
680893|Comuna Corbasca|Comuna Corbasca||46.29728|27.13675|RO
680484|Comuna Coţofăneşti|Comuna Cotofanesti||46.14808|26.98644|RO
679787|Comuna Dămieneşti|Comuna Damienesti||46.7431|27.00649|RO
679719|Oraş Dãrmãneşti|Comuna Darmanesti||46.37559|26.47673|RO
8334699|Comuna Dealu Morii|Comuna Dealu Morii||46.30877|27.29511|RO
679165|Comuna Dofteana|Comuna Dofteana||46.32282|26.53081|RO
678450|Comuna Faraoani|Comuna Faraoani||46.43375|26.89835|RO
678252|Comuna Filipeni|Comuna Filipeni||46.53357|27.19114|RO
678246|Comuna Filipeşti|Comuna Filipesti||46.76821|26.89338|RO
677722|Comuna Găiceana|Comuna Gaiceana||46.3506|27.22154|RO
8334687|Comuna Gârleni|Comuna Garleni||46.66251|26.78819|RO
677376|Comuna Ghimeş-Făget|Comuna Ghimes-Faget||46.60483|26.05354|RO
8334679|Comuna Gioseni|Comuna Gioseni||46.42925|26.99239|RO
677083|Comuna Glăvăneşti|Comuna Glavanesti||46.26329|27.38778|RO
668844|Comuna Gura Văii|Comuna Gura Vaii||46.27305|26.82312|RO
676261|Comuna Helegiu|Comuna Helegiu||46.34967|26.7669|RO
676250|Comuna Hemeiuşi|Comuna Hemeiusi|Comuna Hemeius,Comuna Hemeiusi,Comuna Hemeiuş,Comuna Hemeiuşi|46.61927|26.85729|RO
676015|Comuna Horgeşti|Comuna Horgesti||46.39837|27.05603|RO
675899|Comuna Huruieşti|Comuna Huruesti||46.25297|27.23828|RO
675455|Comuna Iteşti|Comuna Itesti||46.67368|26.85555|RO
675332|Comuna Izvoru Berheciului|Comuna Izvoru Berheciului|Comuna Gloduri,Comuna Izvoru Berheciului|46.57693|27.22842|RO
674825|Comuna Letea Veche|Comuna Letea Veche|Comuna Letea-Veche|46.54236|26.96869|RO
674731|Comuna Lipova|Comuna Lipova||46.72016|27.23238|RO
8334722|Comuna Livezi|Comuna Livezi||46.39932|26.72438|RO
8334656|Comuna Luizi-Cãlugãra|Comuna Luizi-Calugara||46.53604|26.84012|RO
674171|Comuna Măgireşti|Comuna Magiresti||46.50965|26.53727|RO
674129|Comuna Măgura|Comuna Magura||46.56065|26.839|RO
8334655|Comuna Mãnãstirea Caşin|Comuna Manastirea Casin||46.14381|26.695|RO
673788|Comuna Mărgineni|Comuna Margineni||46.59779|26.80505|RO
672759|Comuna Motoşeni|Comuna Motoseni|Comuna Fataciuni,Comuna Fătăciuni,Comuna Motoseni,Comuna Motoşeni,Comuna Ursa-Motoseni,Comuna Ursa-Motoşeni|46.32779|27.41721|RO
672363|Comuna Negri|Comuna Negri||46.705|26.97216|RO
672267|Comuna Nicolae Bălcescu|Comuna Nicolae Balcescu||46.46687|26.88837|RO
671970|Comuna Odobeşti|Comuna Odobesti||46.66902|27.13224|RO
671894|Comuna Oituz|Comuna Oituz||46.19045|26.56043|RO
8334831|Comuna Onceşti|Comuna Oncesti||46.47537|27.25835|RO
671735|Comuna Orbeni|Comuna Orbeni||46.26934|27.01872|RO
671468|Comuna Palanca|Comuna Palanca||46.50647|26.11239|RO
671400|Comuna Pănceşti|Comuna Pancesti||46.36459|27.11377|RO
671351|Comuna Parava|Comuna Parava||46.30993|26.96787|RO
670767|Comuna Pârgăreşti|Comuna Pargaresti||46.24414|26.65017|RO
671335|Comuna Parincea|Comuna Parincea||46.47841|27.12877|RO
670705|Comuna Pârjol|Comuna Parjol||46.59014|26.60903|RO
670471|Comuna Plopana|Comuna Plopana||46.66549|27.24403|RO
670256|Comuna Podu Turcului|Comuna Podu Turcului||46.19703|27.38796|RO
670271|Comuna Poduri|Comuna Poduri||46.47888|26.56593|RO
669724|Comuna Prăjeşti|Comuna Prajesti||46.65469|26.97631|RO
669407|Comuna Răcăciuni|Comuna Racaciuni||46.35011|26.96705|RO
